2_8 (4330.67,4723.83) 18300.00000001419
1_0 (5756.92,2599.65) 18302.30000001416
2_7 (4543.55,2999.63) 18355.10000001339
2_6 (5640.64,7751.05) 18357.000000013362
2_9 (3962.43,4259.38) 18359.80000001332
5_21 (3101.00,2395.21) 18360.0
2_8 (4477.97,4865.50) 18360.00000001332
1_0 (6107.17,2613.22) 18361.000000013304
5_22 (234.82,3832.67) 18413.300000012543
3_10 (3250.05,1546.47) 18415.50000001251
4_15 (3628.98,4282.28) 18416.90000001249
2_5 (5553.13,7268.36) 18417.100000012488
2_8 (4667.36,5029.22) 18420.000000012446
5_21 (3641.05,2360.43) 18420.000000012446
2_7 (4501.53,2715.02) 18468.800000011735
5_22 (549.80,3609.57) 18473.30000001167
2_5 (5416.98,6831.90) 18476.80000001162
4_15 (3513.04,4476.55) 18477.0
1_2 (3263.48,3909.87) 18479.100000011586
2_9 (4330.67,4723.83) 18479.800000011575
2_8 (4938.80,5295.60) 18480.000000011572
1_0 (6389.66,2552.14) 18483.900000011516
3_10 (3008.61,1011.19) 18534.000000010787
4_15 (3121.21,4714.92) 18537.000000010743
2_9 (4477.97,4865.50) 18539.800000010702
5_21 (4153.82,2734.11) 18540.0000000107
1_0 (6835.93,2453.74) 18543.700000010645
3_10 (2635.27,1136.31) 18591.60000000995
5_22 (1129.56,3294.42) 18593.300000009924
2_7 (4464.24,2204.34) 18595.70000000989
2_5 (5272.30,6401.38) 18598.100000009854
1_2 (3602.20,3696.94) 18599.200000009838
2_9 (4667.36,5029.22) 18599.80000000983
2_8 (5041.57,5622.62) 18600.000000009826
5_21 (4300.63,3033.14) 18600.000000009826
1_0 (7200.16,2413.02) 18602.0
2_5 (5190.05,6147.73) 18647.20000000914
4_15 (3244.40,4943.12) 18657.000000008997
2_9 (4938.80,5295.60) 18659.800000008956
2_8 (5163.74,6045.08) 18660.000000008953
5_21 (4350.78,3397.49) 18660.000000008953
1_2 (3925.44,3512.44) 18660.30000000895
1_0 (7538.78,2348.97) 18664.000000008895
2_7 (4501.10,1722.07) 18698.400000008394
5_22 (1639.19,3117.55) 18713.300000008177
2_5 (5044.91,5635.35) 18717.0
4_15 (3561.60,5234.09) 18717.000000008124
2_8 (5266.56,6381.02) 18720.00000000808
3_10 (2254.35,1277.98) 18720.200000008077
2_7 (4466.11,1078.63) 18763.30000000745
5_22 (2134.52,2910.56) 18773.300000007304
1_2 (4291.07,3396.22) 18779.20000000722
2_9 (5041.57,5622.62) 18779.80000000721
5_21 (4507.38,3658.35) 18780.000000007207
1_0 (7912.55,2165.74) 18786.300000007115
2_7 (4832.91,222.68) 18823.900000006568
2_5 (4958.60,5307.90) 18833.900000006422
1_1 (1813.84,6562.13) 18837.000000006377
2_9 (5163.74,6045.08) 18839.800000006337
1_3 (2291.42,4650.03) 18840.0
